name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
1000 Degrees Neapolitan Pizzeria,45 Court St,Boston,2108,US,42.3592396,-71.0589677,2,3.5,36,6.9,7,48.3,6.916666667,6,41.5,0,0,0,6.8,1,6.8
10th Avenue Pizza & Cafe,256 10th Ave,New York,10001,US,40.748746,-74.0031343,1,3.5,24,5.34,5,26.7,4.95,4,19.8,0,0,0,6.9,1,6.9
3 Giovani,548 Laguardia Pl,New York,10012,US,40.7290573,-73.9983778,2,3.5,120,7,2,14,6.3,1,6.3,0,0,0,7.7,1,7.7
310 Bowery Bar,310 Bowery,New York,10012,US,40.7249939,-73.9927133,2,3.5,134,7.9,3,23.7,7.8,2,15.6,0,0,0,8.1,1,8.1
42nd Street Pizza,647 W 42nd St,New York,10036,US,40.7619108,-74.0001507,2,2.5,76,5.4,2,10.8,0,0,0,5.4,1,5.4,5.4,1,5.4
5 Boroughs Pizza,386 Canal St,New York,10013,US,40.721287,-74.0049711,1,3.5,25,4.325,4,17.3,4.633333333,3,13.9,0,0,0,3.4,1,3.4
99 Cent Fresh Pizza,473 Lexington Ave,New York,10017,US,40.7536996,-73.9741132,1,4,118,5.666666667,9,51,5.7625,8,46.1,0,0,0,4.9,1,4.9
A Slice of New York,727 8th Ave,New York,10036,US,40.7596624,-73.9883351,2,2,136,3.257142857,7,22.8,3.116666667,6,18.7,0,0,0,4.1,1,4.1
Acquolina,1600 Stockton St,San Francisco,94133,US,37.8006205,-122.4090769,2,4,426,5.8,4,23.2,5.133333333,3,15.4,0,0,0,7.8,1,7.8
Adoro Lei,287 Hudson St,New York,10013,US,40.7256037,-74.0079092,2,4.5,257,7.733333333,3,23.2,7.7,2,15.4,0,0,0,7.8,1,7.8
Adriatico's New York Style Pizza,1618 Neil Ave,Columbus,43201,US,39.9945638,-83.0141966,2,4,247,6.788888889,9,61.1,6.9625,8,55.7,0,0,0,5.4,1,5.4
Adrienne's Pizzabar,54 Stone St,New York,10004,US,40.7042482,-74.0101127,2,4,1517,7.033333333,12,84.4,7.236363636,11,79.6,0,0,0,4.8,1,4.8
Alphonso's Pizzeria & Trattoria,525 Grand St,New York,10002,US,40.7142926,-73.9817288,1,4,112,5,3,15,4.4,2,8.8,0,0,0,6.2,1,6.2
Amtrak,234 W 31st St,New York,10001,US,40.7496468,-73.993399,0,3,345,0.54,2,1.08,1,1,1,0,0,0,0.08,1,0.08
Angelo Bellini,224 E 53rd St,New York,10022,US,40.7571427,-73.9684855,2,3,109,6.5,4,26,7.3,2,14.6,5.7,1,5.7,5.7,1,5.7
Angelo's Coal Oven Pizzeria,117 W 57th St,New York,10019,US,40.7649042,-73.9779409,2,4,754,8.633640553,217,1873.5,8.630555556,216,1864.2,0,0,0,9.3,1,9.3
Angelo's Pizzeria,1211 Stafford Dr,Princeton,24740,US,37.3627256,-81.0944838,2,3.5,40,5.5,1,5.5,0,0,0,0,0,0,5.5,1,5.5
Antico Pizza,1093 Hemphill Ave NW,Atlanta,30318,US,33.7846405,-84.4056188,2,4,2874,8.27755102,49,405.6,8.277083333,48,397.3,0,0,0,8.3,1,8.3
Aperitivo Pizza Bar,780 3rd Ave,New York,10017,US,40.7550182,-73.9718457,2,3,168,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
Armand's Pizzeria,7650 W North Ave,Elmwood Park,60707,US,41.9089261,-87.8178411,2,3.5,67,7.71,10,77.1,7.777777778,9,70,0,0,0,7.1,1,7.1
